"scenario_id","action","setting","n_annotations","pct_taboo","pct_normal","pct_expected","majority_norm","entropy"
"nb_pilot_044","talk about money","zoo","13","0.385","0.385","0.231","taboo","1.549"
"nb_pilot_045","talk about money","classroom","22","0.455","0.273","0.273","taboo","1.539"
"nb_pilot_046","talk about money","grocery store","15","0.333","0.4","0.267","normal","1.566"
"nb_pilot_047","talk about money","conference room","14","0.286","0.5","0.214","normal","1.493"
"nb_pilot_048","talk about money","bookstore","12","0.167","0.5","0.333","normal","1.459"
"nb_pilot_049","talk about money","boat","12","0.333","0.5","0.167","normal","1.459"
"nb_pilot_050","talk about money","mental institution","14","0.429","0.429","0.143","normal","1.449"
"nb_pilot_051","talk about money","golf course","5","0.0","1.0","0.0","normal","-0.0"
"nb_pilot_052","talk about money","casino","7","0.286","0.286","0.429","expected","1.557"
"nb_pilot_053","talk about money","library","12","0.25","0.333","0.417","expected","1.555"
"nb_pilot_054","talk about money","cemetery","9","0.222","0.333","0.444","expected","1.53"
"nb_pilot_055","talk about money","clothing store","5","0.2","0.4","0.4","expected","1.522"
"nb_pilot_056","talk about money","camera shop","5","0.2","0.4","0.4","expected","1.522"
"nb_pilot_057","talk about money","subway platform","5","0.2","0.4","0.4","expected","1.522"
"nb_pilot_058","talk about money","office","12","0.5","0.25","0.25","taboo","1.5"
"nb_pilot_059","talk about money","taxi","22","0.455","0.364","0.182","taboo","1.495"
"nb_pilot_060","drink alcohol","white house","17","0.353","0.294","0.353","taboo","1.58"
"nb_pilot_061","drink alcohol","apartment","18","0.389","0.333","0.278","taboo","1.572"
"nb_pilot_062","drink alcohol","ski resort","13","0.385","0.385","0.231","taboo","1.549"
"nb_pilot_063","drink alcohol","pool","18","0.444","0.222","0.333","taboo","1.53"
"nb_pilot_064","drink alcohol","art gallery","25","0.4","0.4","0.2","taboo","1.522"
"nb_pilot_065","drink alcohol","hotel room","22","0.5","0.273","0.227","taboo","1.497"
"nb_pilot_066","drink alcohol","auditorium","15","0.333","0.333","0.333","normal","1.585"
"nb_pilot_067","drink alcohol","kitchen","19","0.368","0.421","0.211","normal","1.529"
"nb_pilot_068","drink alcohol","farm","16","0.375","0.5","0.125","normal","1.406"
"nb_pilot_069","drink alcohol","airport","12","0.417","0.5","0.083","normal","1.325"
"nb_pilot_070","drink alcohol","cinema","13","0.462","0.462","0.077","normal","1.314"
"nb_pilot_071","drink alcohol","campus","27","0.37","0.556","0.074","normal","1.28"
"nb_pilot_072","drink alcohol","ranch","18","0.333","0.333","0.333","expected","1.585"
"nb_pilot_073","drink alcohol","park","21","0.476","0.333","0.19","taboo","1.494"
"nb_pilot_074","drink alcohol","armchair","24","0.417","0.417","0.167","taboo","1.483"
"nb_pilot_075","drink alcohol","garage","19","0.474","0.158","0.368","taboo","1.462"
"nb_pilot_076","drink alcohol","political rally","12","0.5","0.167","0.333","taboo","1.459"
"nb_pilot_077","drink alcohol","museum","9","0.444","0.444","0.111","taboo","1.392"
"nb_pilot_078","drink alcohol","strip club","14","0.5","0.429","0.071","taboo","1.296"
"nb_pilot_079","drink alcohol","hotel lobby","10","0.6","0.3","0.1","taboo","1.295"
"nb_pilot_080","wear makeup","church or chapel","37","0.405","0.27","0.324","taboo","1.565"
"nb_pilot_081","wear makeup","altar","21","0.429","0.333","0.238","taboo","1.545"
"nb_pilot_082","wear makeup","army base","22","0.409","0.227","0.364","taboo","1.544"
"nb_pilot_083","wear makeup","rodeo","5","0.4","0.4","0.2","taboo","1.522"
"nb_pilot_084","wear makeup","boxing hall","16","0.5","0.312","0.188","taboo","1.477"
"nb_pilot_085","wear makeup","camera shop","12","0.5","0.333","0.167","taboo","1.459"
"nb_pilot_086","wear makeup","banquet hall","20","0.35","0.35","0.3","normal","1.581"
"nb_pilot_087","wear makeup","apartment","18","0.278","0.389","0.333","normal","1.572"
"nb_pilot_088","wear makeup","dance studio","23","0.304","0.435","0.261","normal","1.55"
"nb_pilot_089","wear makeup","hospital","22","0.273","0.455","0.273","normal","1.539"
"nb_pilot_090","wear makeup","cinema","19","0.263","0.474","0.263","normal","1.524"
"nb_pilot_091","wear makeup","conference room","23","0.217","0.565","0.217","normal","1.422"
"nb_pilot_092","wear makeup","gym","6","0.333","0.333","0.333","expected","1.585"
"nb_pilot_093","wear makeup","auditorium","14","0.286","0.357","0.357","expected","1.577"
"nb_pilot_094","wear makeup","casino","19","0.368","0.263","0.368","expected","1.568"
"nb_pilot_095","wear makeup","cafe","12","0.5","0.333","0.167","taboo","1.459"
"nb_pilot_096","wear makeup","basketball court","11","0.545","0.273","0.182","taboo","1.435"
"nb_pilot_097","wear makeup","arcade","24","0.417","0.458","0.125","normal","1.417"
"nb_pilot_098","wear makeup","temple","8","0.375","0.5","0.125","normal","1.406"
"nb_pilot_099","wear makeup","boat","12","0.25","0.583","0.167","normal","1.384"
