"id","representation","action","context","agent_role","target_role","source","n_responses","majority_norm","pct_majority"
"nb_100_44","auditorium: hold hands with your partner","hold hands with your partner","auditorium","","","normbank","15","taboo","0.8"
"nb_101_38","hotel room: bring in a prostitute","bring in a prostitute","hotel room","","","normbank","26","normal","0.577"
"nb_102_66","hospital: wear high heels","wear high heels","hospital","","","normbank","18","taboo","0.556"
"nb_32_2","cemetery: drink alcohol","drink alcohol","cemetery","","","normbank","76","normal","0.658"
"nb_103_50","restaurant: scratch your body","scratch your body","restaurant","","","normbank","10","taboo","0.5"
"nb_104_14","bathroom: masturbate","masturbate","bathroom","","","normbank","9","taboo","0.667"
"nb_106_67","clothing store: climb on furniture","climb on furniture","clothing store","","","normbank","13","normal","0.385"
"nb_107_11","doctors office: talk about suicide","talk about suicide","doctors office","","","normbank","15","taboo","0.467"
"nb_108_29","church or chapel: argue with someone","argue with someone","church or chapel","","","normbank","29","normal","0.621"
"nb_32_23","basement: drink alcohol","drink alcohol","basement","","","normbank","86","normal","0.581"
"nb_4_32","attic: drink beer","drink beer","attic","","","normbank","89","normal","0.539"
"nb_110_42","government office: chew gum","chew gum","government office","","","normbank","19","taboo","0.526"
"nb_111_48","gift shop: open the cash register","open the cash register","gift shop","","","normbank","13","taboo","0.462"
"nb_112_69","alcoholics ward: put up a picture of a religious figure","put up a picture of a religious figure","alcoholics ward","","","normbank","14","taboo","0.571"
"nb_7_66","hospital: kiss someone","kiss someone","hospital","","","normbank","34","taboo","0.735"
"nb_113_22","park: lay in the sun","lay in the sun","park","","","normbank","16","taboo","0.375"
"nb_114_56","post office: ask for a specific package or letter by name","ask for a specific package or letter by name","post office","","","normbank","9","taboo","0.556"
"nb_102_31","ski resort: wear high heels","wear high heels","ski resort","","","normbank","17","taboo","0.588"
"nb_115_70","altar: read a book","read a book","altar","","","normbank","13","taboo","0.538"
"nb_116_71","backyard: have sex in the sandbox","have sex in the sandbox","backyard","","","normbank","12","normal","0.75"
"nb_117_13","drugstore: buy sti tests","buy sti tests","drugstore","","","normbank","22","normal","0.409"
"nb_118_9","campus: take out student loans","take out student loans","campus","","","normbank","7","taboo","0.571"
"nb_119_72","animal shelter: give the animals medication","give the animals medication","animal shelter","","","normbank","20","normal","0.35"
"nb_120_73","opera house: wear shorts","wear shorts","opera house","","","normbank","9","normal","0.667"
"nb_121_10","grocery store: lift heavy objects","lift heavy objects","grocery store","","","normbank","27","normal","0.63"
"nb_122_36","beach: wear a speedo","wear a speedo","beach","","","normbank","10","normal","0.4"
"nb_123_74","bank: wear a miniskirt","wear a miniskirt","bank","","","normbank","17","taboo","0.647"
"nb_124_32","attic: spin around in circles","spin around in circles","attic","","","normbank","14","normal","0.5"
"nb_125_12","farm: smoking","smoking","farm","","","normbank","16","normal","0.5"
"nb_126_44","auditorium: sit in the front row","sit in the front row","auditorium","","","normbank","8","taboo","0.625"
"nb_127_75","bowling alley: pick up garbage","pick up garbage","bowling alley","","","normbank","24","taboo","0.458"
"nb_128_76","kindergarden: tie your shoes","tie your shoes","kindergarden","","","normbank","6","normal","0.667"
"nb_110_76","kindergarden: chew gum","chew gum","kindergarden","","","normbank","40","normal","0.775"
"nb_129_77","courthouse: yell","yell","courthouse","","","normbank","11","expected","0.364"
"nb_130_30","bedroom: lie down","lie down","bedroom","","","normbank","28","normal","0.357"
"nb_131_38","hotel room: stay alone","stay alone","hotel room","","","normbank","12","normal","0.583"
"nb_132_78","ballroom: lean your head on someone shoulder","lean your head on someone shoulder","ballroom","","","normbank","21","taboo","0.524"
"nb_133_53","monument: make a wish","make a wish","monument","","","normbank","12","normal","0.5"
"nb_134_37","shopping mall: give blood","give blood","shopping mall","","","normbank","11","expected","0.364"
"nb_135_15","pool: wear a swim cap","wear a swim cap","pool","","","normbank","14","normal","0.571"
"nb_2_18","golf course: pick flowers","pick flowers","golf course","","","normbank","16","expected","0.375"
"nb_136_4","arena: pouting","pouting","arena","","","normbank","12","taboo","0.75"
"nb_137_67","clothing store: organize clothes by color or style","organize clothes by color or style","clothing store","","","normbank","27","taboo","0.37"
"nb_63_79","boat: eat with your hands","eat with your hands","boat","","","normbank","6","expected","0.333"
"nb_138_34","car: pick up your kids from school","pick up your kids from school","car","","","normbank","10","expected","0.4"
"nb_17_67","clothing store: talk to yourself","talk to yourself","clothing store","","","normbank","13","normal","0.462"
"nb_104_80","campsite: masturbate","masturbate","campsite","","","normbank","53","normal","0.83"
"nb_139_52","bar: slurp your drink","slurp your drink","bar","","","normbank","14","taboo","0.571"
"nb_140_81","cinema: wear a dress","wear a dress","cinema","","","normbank","9","taboo","0.556"
"nb_129_82","dance studio: yell","yell","dance studio","","","normbank","8","normal","0.625"
"nb_141_83","market: laugh","laugh","market","","","normbank","10","taboo","0.5"
"nb_32_84","armchair: drink alcohol","drink alcohol","armchair","","","normbank","24","taboo","0.417"
"nb_142_24","dentists office: laugh loudly","laugh loudly","dentists office","","","normbank","19","normal","0.368"
"nb_143_85","music store: pick up instruments","pick up instruments","music store","","","normbank","11","normal","0.455"
"nb_144_12","farm: go barefoot","go barefoot","farm","","","normbank","18","expected","0.333"
"nb_145_86","bakery: wiping your nose with your hand","wiping your nose with your hand","bakery","","","normbank","6","taboo","0.5"
"nb_146_43","gym: put your feet on the benches","put your feet on the benches","gym","","","normbank","9","taboo","0.444"
"nb_147_87","forest: stay after dark","stay after dark","forest","","","normbank","23","normal","0.391"
"nb_148_35","athletic field: use flash photography","use flash photography","athletic field","","","normbank","30","taboo","0.433"
"nb_149_20","army base: work on the sabbath","work on the sabbath","army base","","","normbank","13","expected","0.385"
"nb_92_25","art gallery: wear headphones","wear headphones","art gallery","","","normbank","9","normal","0.556"
"nb_151_78","ballroom: get drunk","get drunk","ballroom","","","normbank","87","normal","0.552"
"nb_152_42","government office: analyze data","analyze data","government office","","","normbank","14","taboo","0.5"
"nb_153_81","cinema: take off your shoes","take off your shoes","cinema","","","normbank","22","normal","0.5"
"nb_154_70","altar: beg for mercy","beg for mercy","altar","","","normbank","19","taboo","0.526"
"nb_155_29","church or chapel: force someone to attend","force someone to attend","church or chapel","","","normbank","30","taboo","0.467"
"nb_156_89","gun shop: buy a gun","buy a gun","gun shop","","","normbank","9","normal","0.444"
"nb_57_90","pawn shop: eat food","eat food","pawn shop","","","normbank","18","expected","0.333"
"nb_157_44","auditorium: using profanity","using profanity","auditorium","","","normbank","96","normal","0.521"
"nb_158_91","elevator: blow your nose","blow your nose","elevator","","","normbank","6","taboo","0.667"
"nb_159_0","construction site: cut metal","cut metal","construction site","","","normbank","32","taboo","0.562"
"nb_160_92","newsroom: use the word ""comrade"" to refer to a colleague","use the word ""comrade"" to refer to a colleague","newsroom","","","normbank","9","normal","0.444"
"nb_158_68","bus: blow your nose","blow your nose","bus","","","normbank","16","taboo","0.562"
"nb_161_93","parking lot: walk around shirtless","walk around shirtless","parking lot","","","normbank","34","normal","0.529"
"nb_162_64","copy center: train someone on how to use machines","train someone on how to use machines","copy center","","","normbank","21","normal","0.524"
"nb_163_30","bedroom: eat lunch","eat lunch","bedroom","","","normbank","8","taboo","0.5"
"nb_164_11","doctors office: fall asleep","fall asleep","doctors office","","","normbank","16","taboo","0.5"
"nb_102_21","balloon festival: wear high heels","wear high heels","balloon festival","","","normbank","18","taboo","0.556"
"nb_165_23","basement: cook","cook","basement","","","normbank","7","expected","0.429"
"nb_141_94","interrogation room: laugh","laugh","interrogation room","","","normbank","15","normal","0.6"
"nb_144_36","beach: go barefoot","go barefoot","beach","","","normbank","11","taboo","0.455"
"nb_166_28","apartment: cast out demons","cast out demons","apartment","","","normbank","9","taboo","0.556"
"nb_167_95","tennis court: boo the other player","boo the other player","tennis court","","","normbank","18","taboo","0.556"
"nb_168_96","locker room: take off all of your clothes","take off all of your clothes","locker room","","","normbank","14","taboo","0.429"
"nb_169_28","apartment: watch movies with graphic violence or nudity","watch movies with graphic violence or nudity","apartment","","","normbank","52","normal","0.692"
"nb_170_97","mountain: hug someone","hug someone","mountain","","","normbank","16","taboo","0.5"
"nb_171_83","market: buy bread","buy bread","market","","","normbank","10","taboo","0.6"
"nb_172_15","pool: do a cannonball","do a cannonball","pool","","","normbank","14","taboo","0.571"
"nb_174_1","cafe: drink a coffee","drink a coffee","cafe","","","normbank","20","taboo","0.4"
"nb_175_35","athletic field: pray","pray","athletic field","","","normbank","11","taboo","0.545"
"nb_176_98","biology laboratory: maintain and clean the lab equipment","maintain and clean the lab equipment","biology laboratory","","","normbank","13","taboo","0.462"
"nb_178_84","armchair: sit on a person's lap","sit on a person's lap","armchair","","","normbank","7","normal","0.571"
"nb_179_99","office: fill out a form","fill out a form","office","","","normbank","14","normal","0.5"
"nb_180_81","cinema: leave garbage or food behind","leave garbage or food behind","cinema","","","normbank","9","expected","0.556"
"nb_129_100","rodeo: yell","yell","rodeo","","","normbank","19","expected","0.368"
"nb_181_80","campsite: talk about your ex","talk about your ex","campsite","","","normbank","16","taboo","0.625"
"nb_182_42","government office: use slang or informal language","use slang or informal language","government office","","","normbank","11","normal","0.545"
"nb_183_94","interrogation room: hide under the table","hide under the table","interrogation room","","","normbank","12","normal","0.5"
"nb_184_3","banquet hall: sing ""danny boy""","sing ""danny boy""","banquet hall","","","normbank","13","taboo","0.538"
"nb_185_41","casino: play slots","play slots","casino","","","normbank","15","taboo","0.733"
"nb_186_101","racetrack: drum on a drum","drum on a drum","racetrack","","","normbank","18","taboo","0.556"
"nb_187_52","bar: wear a bindi","wear a bindi","bar","","","normbank","39","expected","0.385"
"nb_188_97","mountain: plant a garden","plant a garden","mountain","","","normbank","14","taboo","0.5"
"nb_189_17","airplane cabin: block the aisle","block the aisle","airplane cabin","","","normbank","13","taboo","0.385"
"nb_190_32","attic: lay on the floor and spin around","lay on the floor and spin around","attic","","","normbank","5","normal","0.6"
"nb_191_35","athletic field: bring a blanket","bring a blanket","athletic field","","","normbank","18","normal","0.611"
"nb_192_59","barber shop or beauty salon: use offensive language","use offensive language","barber shop or beauty salon","","","normbank","10","taboo","0.5"
"nb_193_90","pawn shop: make jokes","make jokes","pawn shop","","","normbank","5","normal","0.4"
"nb_194_4","arena: humming","humming","arena","","","normbank","9","taboo","0.667"
"nb_195_66","hospital: flirt with someone","flirt with someone","hospital","","","normbank","72","normal","0.639"
"nb_195_102","gas station: flirt with someone","flirt with someone","gas station","","","normbank","10","taboo","0.4"
"nb_196_51","camera shop: count the money in the register","count the money in the register","camera shop","","","normbank","14","taboo","0.571"
"nb_197_51","camera shop: talk about death","talk about death","camera shop","","","normbank","13","taboo","0.462"
"nb_198_26","boxing hall: wear a tank top","wear a tank top","boxing hall","","","normbank","10","taboo","0.5"
"nb_199_29","church or chapel: look someone in the eye","look someone in the eye","church or chapel","","","normbank","23","expected","0.435"
"nb_200_33","darkroom: dry the prints","dry the prints","darkroom","","","normbank","14","taboo","0.429"
"nb_150_103","mental institution: talk about mental health","talk about mental health","mental institution","","","normbank","17","normal","0.412"
"nb_201_13","drugstore: buy lubricant","buy lubricant","drugstore","","","normbank","25","normal","0.4"
"nb_202_29","church or chapel: celebrate holidays","celebrate holidays","church or chapel","","","normbank","32","normal","0.375"
"nb_203_20","army base: make noise","make noise","army base","","","normbank","13","expected","0.462"
"nb_204_24","dentists office: drink soda","drink soda","dentists office","","","normbank","19","normal","0.737"
"nb_205_8","waterfall: go fishing","go fishing","waterfall","","","normbank","15","normal","0.467"
"nb_206_60","classroom: allow disagreement with the material","allow disagreement with the material","classroom","","","normbank","22","taboo","0.5"
"nb_207_76","kindergarden: bring a weapon","bring a weapon","kindergarden","","","normbank","12","taboo","0.5"
"nb_208_104","cornfield: sit down","sit down","cornfield","","","normbank","20","expected","0.45"
"nb_209_97","mountain: give offerings","give offerings","mountain","","","normbank","10","normal","0.6"
"nb_210_14","bathroom: use mouthwash","use mouthwash","bathroom","","","normbank","15","expected","0.333"
"nb_211_43","gym: do the splits","do the splits","gym","","","normbank","11","normal","0.455"
"nb_212_91","elevator: talk about religion","talk about religion","elevator","","","normbank","14","normal","0.5"
"nb_213_28","apartment: circumcise boys","circumcise boys","apartment","","","normbank","15","taboo","0.333"
"nb_214_10","grocery store: ring up orders","ring up orders","grocery store","","","normbank","14","expected","0.5"
"nb_215_92","newsroom: have your feet up on a desk","have your feet up on a desk","newsroom","","","normbank","10","normal","0.5"
"nb_216_5","tattoo studio: ask for a discount","ask for a discount","tattoo studio","","","normbank","15","taboo","0.4"
"nb_217_22","park: go","go","park","","","normbank","22","expected","0.409"
"nb_218_102","gas station: bend over to pick something up","bend over to pick something up","gas station","","","normbank","10","normal","0.6"
"nb_219_9","campus: hook up with someone","hook up with someone","campus","","","normbank","12","normal","0.5"
"nb_220_105","conference room: get up and leave the room","get up and leave the room","conference room","","","normbank","24","normal","0.417"
"nb_120_44","auditorium: wear shorts","wear shorts","auditorium","","","normbank","80","normal","0.562"
"nb_221_35","athletic field: calmly lay on the grass","calmly lay on the grass","athletic field","","","normbank","12","normal","0.5"
"nb_222_106","zoo: supervise staff and volunteers","supervise staff and volunteers","zoo","","","normbank","13","taboo","0.615"
"nb_223_60","classroom: hold hands with someone","hold hands with someone","classroom","","","normbank","5","taboo","0.4"
"nb_224_60","classroom: invite someone to church","invite someone to church","classroom","","","normbank","28","normal","0.571"
"nb_225_79","boat: talk about politics","talk about politics","boat","","","normbank","30","taboo","0.433"
"nb_226_68","bus: carry a weapon","carry a weapon","bus","","","normbank","13","taboo","0.538"
"nb_227_17","airplane cabin: skip meals","skip meals","airplane cabin","","","normbank","8","expected","0.625"
"nb_228_21","balloon festival: smoke a pipe","smoke a pipe","balloon festival","","","normbank","17","taboo","0.529"
"nb_229_99","office: participate in ceremonies or rituals","participate in ceremonies or rituals","office","","","normbank","9","normal","0.667"
"nb_230_11","doctors office: tell someone your political views","tell someone your political views","doctors office","","","normbank","19","normal","0.684"
"nb_231_49","amusement park: buy food","buy food","amusement park","","","normbank","11","taboo","0.455"
"nb_232_78","ballroom: bring a gift","bring a gift","ballroom","","","normbank","11","taboo","0.455"
"nb_233_45","white house: do a crossword puzzle","do a crossword puzzle","white house","","","normbank","9","normal","0.556"
"nb_234_81","cinema: kick the seat in front of you","kick the seat in front of you","cinema","","","normbank","20","taboo","0.6"
"nb_109_19","country road: sing","sing","country road","","","normbank","12","normal","0.5"
"nb_235_78","ballroom: jump up and down","jump up and down","ballroom","","","normbank","16","taboo","0.438"
"nb_236_14","bathroom: leave the seat up","leave the seat up","bathroom","","","normbank","12","normal","0.5"
"nb_32_107","strip club: drink alcohol","drink alcohol","strip club","","","normbank","14","taboo","0.5"
"nb_237_30","bedroom: use a mosquito net","use a mosquito net","bedroom","","","normbank","24","expected","0.542"
"nb_208_95","tennis court: sit down","sit down","tennis court","","","normbank","12","taboo","0.417"
"nb_82_86","bakery: put your elbows on the counter","put your elbows on the counter","bakery","","","normbank","17","taboo","0.588"
"nb_195_29","church or chapel: flirt with someone","flirt with someone","church or chapel","","","normbank","9","taboo","0.556"
"nb_238_80","campsite: use pesticides","use pesticides","campsite","","","normbank","16","expected","0.375"
"nb_239_29","church or chapel: do a puzzle","do a puzzle","church or chapel","","","normbank","28","normal","0.643"
"nb_240_29","church or chapel: wear jewelry","wear jewelry","church or chapel","","","normbank","18","taboo","0.389"
"nb_241_108","balcony: advocate for higher taxes on the wealthy","advocate for higher taxes on the wealthy","balcony","","","normbank","17","taboo","0.588"
"nb_242_14","bathroom: trim your nails","trim your nails","bathroom","","","normbank","14","expected","0.357"
"nb_243_100","rodeo: engage in fights","engage in fights","rodeo","","","normbank","14","taboo","0.357"
"nb_244_88","bookstore: ask someone to borrow a pen","ask someone to borrow a pen","bookstore","","","normbank","7","normal","0.429"
"nb_67_78","ballroom: wear heels","wear heels","ballroom","","","normbank","13","normal","0.385"
"nb_245_70","altar: kneel down","kneel down","altar","","","normbank","16","expected","0.562"
"nb_246_60","classroom: curl up in a ball","curl up in a ball","classroom","","","normbank","11","taboo","0.545"
"nb_247_15","pool: have parties with alcohol or drugs","have parties with alcohol or drugs","pool","","","normbank","11","taboo","0.364"
"nb_197_55","taxi: talk about death","talk about death","taxi","","","normbank","7","normal","0.857"
"nb_248_30","bedroom: have unprotected sex","have unprotected sex","bedroom","","","normbank","20","normal","0.45"
"nb_249_48","gift shop: buy a gift for a friend","buy a gift for a friend","gift shop","","","normbank","10","normal","0.5"
"nb_250_52","bar: smoke a cigarette","smoke a cigarette","bar","","","normbank","20","taboo","0.6"
"nb_251_69","alcoholics ward: fall in love with a patient","fall in love with a patient","alcoholics ward","","","normbank","11","taboo","0.545"
"nb_252_109","temple: prostrate yourself","prostrate yourself","temple","","","normbank","22","expected","0.455"
"nb_253_10","grocery store: talk about salaries","talk about salaries","grocery store","","","normbank","20","normal","0.4"
"nb_254_34","car: play with the controls","play with the controls","car","","","normbank","10","taboo","0.5"
"nb_255_50","restaurant: reach across the table for food","reach across the table for food","restaurant","","","normbank","12","taboo","0.5"
"nb_256_30","bedroom: put on makeup","put on makeup","bedroom","","","normbank","20","taboo","0.45"
"nb_257_73","opera house: wear jeans","wear jeans","opera house","","","normbank","13","taboo","0.462"
"nb_240_54","crime scene: wear jewelry","wear jewelry","crime scene","","","normbank","19","normal","0.684"
"nb_258_99","office: work more than 8 hours in a day","work more than 8 hours in a day","office","","","normbank","8","normal","0.375"
"nb_7_107","strip club: kiss someone","kiss someone","strip club","","","normbank","17","taboo","0.588"
"nb_259_65","jail or prison: lean on the bars","lean on the bars","jail or prison","","","normbank","9","taboo","0.667"
"nb_115_22","park: read a book","read a book","park","","","normbank","14","normal","0.643"
"nb_260_55","taxi: share a ride with another person","share a ride with another person","taxi","","","normbank","15","taboo","0.533"
"nb_261_1","cafe: clean the tables","clean the tables","cafe","","","normbank","13","taboo","0.538"
"nb_262_12","farm: climb a fence","climb a fence","farm","","","normbank","13","taboo","0.462"
"nb_263_110","smoking room: make eye contact with someone","make eye contact with someone","smoking room","","","normbank","11","normal","0.455"
